Time,rnti,SFN,format,preamble,ta,nb_TB,MCSi_1,MCSi_2,TBS_1,TBS_2,nb_PRB,connection_id
1666257034307,65535,6905,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257034312,54519,6910,0.0,48.0,8.0,1,29,-2,0,-2,2,8
1666257034322,65535,6920,2.0,0.0,0.0,1,1,-2,56,-2,2,3
1666257034327,65535,6925,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257034331,65534,6929,2.0,0.0,0.0,1,3,-2,104,-2,5,2
1666257034347,65535,6945,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257034352,54519,6950,0.0,48.0,8.0,1,29,-2,0,-2,2,8
1666257034362,65535,6960,2.0,0.0,0.0,1,4,-2,120,-2,3,3
1666257034367,65535,6965,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257034371,65534,6969,2.0,0.0,0.0,1,1,-2,56,-2,3,2
1666257034387,65535,6985,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257034402,18863,7000,0.0,27.0,2.0,1,29,-2,0,-2,1,4
1666257034407,65535,7005,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257034407,31355,7005,0.0,29.0,3.0,1,29,-2,0,-2,2,6
1666257034411,65534,7009,2.0,0.0,0.0,1,3,-2,104,-2,5,2
1666257034412,19379,7010,0.0,25.0,4.0,1,29,-2,0,-2,1,5
1666257034423,19379,7021,0.0,25.0,4.0,1,5,-2,328,-2,4,5
1666257034427,65535,7025,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257034431,19379,7029,0.0,25.0,4.0,1,25,-2,1128,-2,2,5
1666257034432,19379,7030,6.0,25.0,4.0,1,0,-2,88,-2,4,5
1666257034433,19379,7031,6.0,25.0,4.0,1,0,-2,208,-2,8,5
1666257034433,19379,7031,0.0,25.0,4.0,1,24,-2,1064,-2,2,5
1666257034437,19379,7035,0.0,25.0,4.0,1,25,-2,1128,-2,2,5
1666257034438,2,7036,2.0,0.0,0.0,1,1,-2,56,-2,3,1
1666257034440,19379,7038,0.0,25.0,4.0,1,23,-2,1000,-2,2,5
1666257034443,65535,7041,2.0,0.0,0.0,1,10,-2,328,-2,6,3
1666257034447,65535,7045,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257034448,19379,7046,6.0,25.0,4.0,1,0,-2,88,-2,4,5
1666257034451,65534,7049,2.0,0.0,0.0,1,1,-2,56,-2,3,2
1666257034454,65535,7052,2.0,0.0,0.0,1,10,-2,328,-2,6,3
1666257034462,65535,7060,2.0,0.0,0.0,1,1,-2,88,-2,2,3
1666257034467,65535,7065,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257034482,65535,7080,2.0,0.0,0.0,1,1,-2,56,-2,2,3
1666257034487,31355,7085,0.0,29.0,3.0,1,29,-2,0,-2,2,6
1666257034487,65535,7085,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257034502,65535,7100,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257034507,65535,7105,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257034507,54519,7105,0.0,48.0,8.0,1,29,-2,0,-2,2,8
